Rank,Name,Symbol,Price,Change_1h,Change_24h,Change_7d,Change_30d,Volume_24h,Circulating_Supply,Total_Supply,Market_Cap
105,NEXO,NEXO,$1.14,-0.18%,-0.32%,-3.55%,-10.05%,"$11,348,253","1,000,000,000","1,000,000,000","$1,134,430,569"
106,Solv Protocol BTC,SOLVBTC,"$110,388",-0.00%,0.89%,3.85%,-2.36%,"$941,443","10,061.07027909","10,061.07027909","$1,110,679,097"
107,XDC Network,XDC,$0.062112,0.07%,0.26%,9.06%,-18.73%,"$29,461,282","17,752,723,613","38,028,298,600.34999847","$1,102,525,021"
108,Filecoin,FIL,$1.57,0.50%,0.77%,7.44%,-30.54%,"$77,061,333","700,421,251","1,958,867,540","$1,097,750,319"
109,syrupUSDT,SYRUPUSDT,$1.1,0.03%,0.02%,0.16%,,"$1,424,457","955,949,684.23779595","955,949,684.23779595","$1,051,149,514"
110,Morpho,MORPHO,$1.99,0.63%,5.62%,18.00%,13.81%,"$31,573,918","523,263,303.81129032","1,000,000,000","$1,039,701,564"
111,Immutable,IMX,$0.523236,0.06%,2.22%,5.61%,-29.59%,"$28,542,890","1,939,938,090.38981414","2,000,000,000","$1,014,961,082"
112,First Digital USD,FDUSD,$0.998539,0.06%,0.08%,-0.00%,0.08%,"$4,603,902,859","1,004,833,810.98418999","1,004,833,810.98418999","$1,002,880,643"
113,Mantle Staked Ether,METH,"$4,234.74",0.11%,2.25%,2.74%,-5.43%,"$3,497,428","231,000.93454149","231,000.93454149","$978,625,385"
114,Global Dollar,USDG,$0.999905,-0.01%,-0.01%,-0.03%,0.02%,"$26,620,671","966,455,088.63339698","966,455,088.63339698","$966,379,736"
115,Jupiter Staked SOL,JUPSOL,$222.13,0.55%,1.95%,6.63%,-8.91%,"$28,975,853","4,294,273.19668578","4,294,273.19668578","$953,095,251"
116,SPX6900,SPX,$1.025,0.83%,5.49%,2.94%,-4.10%,"$31,633,781","930,993,081.85318136","930,993,081.85318136","$952,818,922"
117,PancakeSwap,CAKE,$2.65,0.02%,-2.96%,-5.42%,-5.23%,"$165,934,799","342,149,383.93473279","356,840,770.64276761","$907,886,199"
118,Ripple USD,RLUSD,$1,0.02%,0.02%,0.02%,0.06%,"$75,516,024","903,497,057.47999823","903,497,057.47999823","$903,546,753"
119,Arbitrum Bridged WBTC (Arbitrum One),WBTC,"$110,762",-0.06%,0.89%,3.26%,-2.32%,"$121,002,041","8,100.29503762","8,100.29503762","$897,157,536"
121,clBTC,CLBTC,"$111,240",,0.95%,4.20%,-2.17%,$23.15,"7,723.217","7,723.217","$859,127,589"
122,Celestia,TIA,$1.026,-0.04%,2.06%,1.66%,-30.12%,"$60,665,740","825,711,608.31413102","1,150,380,735.99956012","$846,899,143"
123,Optimism,OP,$0.445208,0.40%,2.81%,5.77%,-35.70%,"$82,135,764","1,896,570,907","4,294,967,296","$844,377,822"
120,Fasttoken,FTN,$1.94,-3.74%,-3.79%,-3.42%,-56.72%,"$1,296,422","433,519,468.19999999","870,742,437","$842,527,879"
124,Injective,INJ,$8.45,0.18%,0.03%,1.37%,-32.28%,"$77,122,755","97,727,220.33","100,000,000","$827,256,973"
125,Lido DAO,LDO,$0.921488,0.47%,1.97%,6.81%,-17.68%,"$118,667,033","895,768,803.29332292","1,000,000,000","$825,502,452"
126,DoubleZero,2Z,$0.235467,0.76%,0.28%,1.42%,,"$24,269,792","3,471,417,500","10,000,000,000","$817,134,249"
127,Marinade Staked SOL,MSOL,$258.19,0.62%,1.93%,5.63%,-8.76%,"$5,761,613","3,138,815","3,138,815","$810,300,980"
128,Stacks,STX,$0.44516,0.72%,3.17%,5.09%,-25.87%,"$18,427,856","1,806,710,827.89001012","1,806,710,827.89001012","$802,627,662"
129,OUSG,OUSG,$113.03,0.00%,0.01%,0.07%,0.32%,$0,"6,965,303.93154282","6,965,303.93154282","$787,320,950"
130,Circle USYC,USYC,$1.1,,,0.21%,0.25%,$1.1,"709,553,254","709,553,254","$783,619,459"
131,Curve DAO,CRV,$0.535823,0.33%,2.12%,3.06%,-24.13%,"$114,527,934","1,417,790,425","2,316,422,585.10536098","$759,880,719"
132,Superstate Short Duration U.S. Government Securities Fund (USTB),USTB,$10.87,0.00%,0.01%,0.07%,0.32%,$0,"68,705,762.617061","68,705,762.617061","$746,683,922"
133,Aerodrome Finance,AERO,$0.81277,0.34%,1.76%,7.32%,-24.87%,"$28,169,595","905,871,331.38234389","1,772,166,177.8436029","$735,907,530"
134,FLOKI,FLOKI,$0.00007375,0.16%,-0.20%,13.11%,-14.49%,"$74,853,070","9,658,674,538,287","10,000,000,000,000","$712,223,824"
135,Artificial Superintelligence Alliance,FET,$0.267744,0.32%,7.14%,0.22%,-54.99%,"$133,551,340","2,604,959,126.67199993","2,714,493,896.67199993","$698,522,427"
136,Plasma,XPL,$0.381362,-1.10%,5.11%,-5.50%,,"$251,724,926","1,800,000,000","10,000,000,000","$685,742,586"
137,Ether.Fi Liquid ETH,LIQUIDETH,"$4,145.28",0.34%,2.15%,,,"$1,691.58","165,299.38375008","165,299.38375008","$685,212,017"
138,Ondo US Dollar Yield,USDY,$1.094,0.00%,-0.92%,-1.19%,1.57%,"$3,235,158","624,004,693.94107962","624,456,207.3101418","$682,698,342"
139,Stables Labs USDX,USDX,$0.997813,-0.03%,-0.01%,0.02%,0.13%,"$60,351","683,946,127.86171591","683,946,127.86171591","$682,643,627"
140,L2 Standard Bridged WETH (Base),WETH,"$3,931.15",0.05%,2.38%,2.71%,-5.76%,"$841,199,810","173,467.11137371","173,467.11137371","$681,919,410"
141,The Graph,GRT,$0.064558,0.11%,1.59%,3.06%,-23.73%,"$20,295,086","10,558,922,210.8947506","10,800,262,816.04821014","$681,593,040"
142,Pyth Network,PYTH,$0.114794,0.39%,0.73%,5.61%,-25.35%,"$23,284,530","5,749,983,053.17352104","10,000,000,000","$659,295,562"
143,tBTC,TBTC,"$110,631",-0.01%,1.19%,3.85%,-2.54%,"$6,970,216","5,907.73703597","5,907.73703597","$653,378,577"
144,Tezos,XTZ,$0.599145,0.20%,1.04%,3.56%,-15.58%,"$13,439,850","1,062,959,879.37429702","1,083,022,980.76800299","$636,697,886"
145,Kaia,KAIA,$0.108689,0.19%,0.44%,6.57%,-27.85%,"$13,469,985","5,856,641,747.10619831","5,856,641,936.04425335","$636,687,429"
146,Sonic,S,$0.165089,-0.06%,1.08%,-4.13%,-35.09%,"$36,851,600","3,784,775,845","3,885,497,663","$624,731,899"
147,Virtuals Protocol,VIRTUAL,$0.92932,0.73%,18.74%,23.48%,-14.96%,"$213,618,175","655,785,262.82408237","1,000,000,000","$611,273,021"
148,Stader ETHx,ETHX,"$4,221.01",0.25%,2.48%,2.89%,-5.44%,"$74,059","143,515.53743381","143,515.53743381","$605,772,277"
149,GTETH,GTETH,"$3,932.87",0.15%,2.22%,2.68%,-5.97%,"$247,217","153,820","153,820","$604,945,608"
151,Arbitrum Bridged WETH (Arbitrum One),WETH,"$3,935.14",0.24%,2.37%,2.55%,-5.70%,"$118,068,315","153,259.32704708","153,259.32704708","$603,085,379"
150,MYX Finance,MYX,$3.17,1.48%,19.69%,11.22%,-65.90%,"$54,960,289","190,768,939.69","1,000,000,000","$602,971,109"
152,IOTA,IOTA,$0.146397,0.06%,2.62%,6.97%,-14.46%,"$7,740,766","4,101,014,637","4,731,905,599","$600,383,302"
153,USDai,USDAI,$1.018,0.12%,0.10%,-0.38%,0.94%,"$2,669,191","578,429,998.59306681","578,429,998.59306681","$588,599,976"
154,Beldex,BDX,$0.078935,0.70%,1.20%,-0.04%,-12.36%,"$11,185,783","7,477,078,873.65979958","9,938,058,561.3006382","$588,523,561"
155,AB,AB,$0.00695623,0.03%,-0.07%,-2.24%,-16.61%,"$15,824,336","83,479,043,739.94999695","98,823,661,261.46000671","$581,452,942"
156,Conflux,CFX,$0.111819,0.21%,2.79%,4.68%,-23.56%,"$19,863,051","5,147,783,902.62935066","5,720,739,590.06951809","$575,748,368"
157,Ether.fi,ETHFI,$1.013,-0.18%,2.24%,-6.48%,-36.70%,"$67,854,767","564,111,001","998,535,999","$571,201,082"
158,cgETH Hashkey Cloud,CGETH.HASHKEY,"$3,479.89",25.07%,-6.76%,-5.10%,-12.83%,"$3,055.06","199,929.02","199,929.02","$556,221,852"
159,Theta Network,THETA,$0.552897,-0.25%,-0.66%,4.18%,-26.17%,"$15,341,368","1,000,000,000","1,000,000,000","$552,837,099"
160,Usual USD,USD0,$0.998193,-0.02%,0.00%,0.00%,0.01%,"$5,360,795","551,349,756.38060665","551,349,756.38060665","$550,347,989"
161,Pendle,PENDLE,$3.23,0.48%,4.61%,3.13%,-32.78%,"$46,204,963","168,644,760.81591371","281,527,448.45853138","$544,603,404"
162,Polygon PoS Bridged DAI (Polygon POS),DAI,$0.999709,-0.02%,-0.03%,-0.02%,-0.01%,"$14,702,301","543,431,358.98422194","543,431,358.98422194","$543,275,960"
163,dogwifhat,WIF,$0.539579,0.35%,2.72%,7.42%,-32.33%,"$129,074,307","998,926,392","998,926,392","$538,714,204"
164,Polygon Bridged USDC (Polygon PoS),USDC.E,$0.999801,-0.01%,-0.01%,-0.00%,0.01%,"$9,168,640","537,773,972.52224898","537,773,972.52224898","$537,666,882"
165,Coinbase Wrapped Staked ETH,CBETH,"$4,331.06",0.23%,2.46%,2.91%,-5.72%,"$6,553,973","123,245.18156257","373,334.07822321","$533,782,305"
166,Trust Wallet,TWT,$1.27,0.03%,0.63%,-1.40%,4.69%,"$32,012,387","416,649,900","1,000,000,000","$529,698,594"
167,Swell Ethereum,SWETH,"$4,337.66",0.20%,2.43%,2.99%,-4.68%,"$242,907","121,323.09574108","121,326.47831965","$525,957,134"
168,Humanity,H,$0.289677,-1.97%,95.76%,169.58%,447.48%,"$180,286,586","1,825,000,000","10,000,000,000","$523,970,558"
169,Starknet,STRK,$0.121117,0.05%,1.36%,9.15%,-1.29%,"$25,357,696","4,318,575,355.34897137","10,000,000,000","$523,089,045"
170,The Sandbox,SAND,$0.213487,0.35%,2.30%,6.60%,-22.22%,"$26,347,251","2,445,857,126.22332239","3,000,000,000","$522,290,669"
172,Avalanche Bridged BTC (Avalanche),BTC.B,"$110,623",-0.12%,0.65%,3.80%,-2.61%,"$37,723,897","4,663.00256801","4,663.00256801","$515,742,853"
171,JasmyCoin,JASMY,$0.01065327,0.16%,-0.79%,10.16%,-17.88%,"$31,530,036","48,419,999,999.30580139","50,000,000,000","$515,662,388"
173,GALA,GALA,$0.01109856,-0.08%,1.25%,3.92%,-28.09%,"$52,188,291","46,318,507,904.00440979","46,318,507,904.00440979","$513,656,689"
174,Ethereum Name Service,ENS,$15.47,0.11%,1.20%,2.70%,-26.58%,"$41,423,216","33,165,585.05450796","100,000,000","$513,248,265"
175,Mantle Bridged USDT (Mantle),USDT,$1,-0.56%,0.11%,0.23%,0.32%,"$2,207,244","508,531,229.78493398","508,531,229.78493398","$508,640,041"
